CEO,address,address2,city,companyName,country,description,employees,exchange,industry,issueType,phone,primarySicCode,sector,securityName,state,symbol,tags,website,zip
Robert Wetherbee,1000 Six Ppg Place,,Pittsburgh,Allegheny Technologies Inc,US,"ATI is a $3 billion global manufacturer solving the world's most difficult challenges through materials science; advanced, integrated process technologies; and relentlessly innovative people. They serve customers whose demanding applications need to fly higher, dig deeper, stand stronger, and last longer— anywhere on, above, or below the earth. They partner to create new specialty materials in forms that deliver ultimate performance and long-term value in applications like jet engine forgings and 3D-printed aerospace components. They produce powders for forging and additive manufacturing; rolled materials, and finished components. Their specialty materials withstand extremes of temperature, stress and corrosion to improve and protect human lives every day.",8100,"NEW YORK STOCK EXCHANGE, INC.",Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,cs,14123942800,3317,Manufacturing,Allegheny Technologies Inc,Pennsylvania,ATI,"['Non-Energy Minerals', 'Steel', 'Manufacturing', 'Iron and Steel Pipe and Tube Manufacturing from Purchased Steel']",https://www.atimetals.com/,15222
,,,,ATIF Holdings Ltd,,"eadquartered in Los Angeles, California, ATIF Holdings Limited ('ATIF') is a holding group with asset management, investment holding and multimedia sectors and provide business consulting services to small and medium-sized enterprises in Asia and North America, including going public consulting services, international business planning and consulting services, and financial media services. ATIF operates an internet-based financial consulting service platform IPOEX.com, which provides prestige membership services including online capital market information, pre-IPO education and matchmaking services between SMEs and financing institutions. ATIF has advised several enterprises in China in their plans to become publicly listed in the U.S. Through its majority-owned subsidiary, Leaping Group Co., Ltd., ATIF also provides multimedia services and is engaged in three major businesses, including multi-channel advertising, event planning and execution, film and TV program production and movie theater operations. ATIF operates the largest pre-movie advertising network in Heilongjiang Province and Liaoning Province of China and also provides advertising services in elevators and supermarkets. ATIF is often hired to plan both online and offline advertising campaigns and to produce related advertising material. In addition, ATIF invests in films and TV programs and distributes them in movie theaters or through online platforms.",,NASDAQ CAPITAL MARKET,Payroll Services ,cs,,8742,"Professional, Scientific, and Technical Services",ATIF Holdings Ltd,,ATIF,"['Investment Managers', 'Finance', 'Professional, Scientific, and Technical Services', 'Payroll Services ']",,
William Waltz,16100 Lathrop Ave,,Harvey,Atkore Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,cs,17083391610,3317,Manufacturing,Atkore Inc,Illinois,ATKR,"['Producer Manufacturing', 'Electrical Products', 'Manufacturing', 'Iron and Steel Pipe and Tube Manufacturing from Purchased Steel']",http://investors.atkore.com/,60426-6021
,,,,Atlanticus Holdings Corp,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Credit Card Issuing ,cs,,6141,Finance and Insurance,Atlanticus Holdings Corp,,ATLC,"['Finance', 'Finance/Rental/Leasing', 'Finance and Insurance', 'Credit Card Issuing ']",,
,,,,Ames National Corp.,,"Ames National Corporation is listed on the NASDAQ Capital Market under the ticker symbol, ATLO. The Corporation affiliate banks, all located in central Iowa, include: First National Bank, Ames, Boone Bank & Trust Co., Boone, Iowa State Savings Bank, Creston, State Bank & Trust Co., Nevada, Reliance State Bank, Story City, and United Bank & Trust, Marshalltown. Information regarding the process for purchasing stock can be obtained through Richard Nelson at First Point Wealth Management, (515) 663-3074.",,NASDAQ CAPITAL MARKET,Commercial Banking ,cs,,6021,Finance and Insurance,Ames National Corp.,,ATLO,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",,
James Staley,Canary Wharf,,1 Churchill Place,Barclays Bank PLC,United Kingdom,,,CBOE BZX U.S. EQUITIES EXCHANGE,Commercial Banking ,struct,442035554619,6029,Finance and Insurance,Barclays Bank PLC - FR SP ETN REDEEM 18/03/2043 USD 25 - Ser A,London,ATMP,"['Miscellaneous', 'Investment Trusts/Mutual Funds', 'Finance and Insurance', 'Commercial Banking ']",https://www.barclays.co.uk/,E14 5HP
,,,,Altimar Acquisition Corp II,,,,"NEW YORK STOCK EXCHANGE, INC.",,,,6770,,Altimar Acquisition Corp II - Units (1 Ord Share Class A & 1/4 War),,ATMR=,[],,
,,,,180 Life Sciences Corp,,,,NASDAQ CAPITAL MARKET,Research and Development in Biotechnology ,cs,,6770,"Professional, Scientific, and Technical Services",180 Life Sciences Corp,,ATNF,"['Finance', 'Financial Conglomerates']",,
,,,,180 Life Sciences Corp,,,,NASDAQ CAPITAL MARKET,Research and Development in Biotechnology ,wt,,6770,"Professional, Scientific, and Technical Services",180 Life Sciences Corp - Warrants (07/11/2025),,ATNFW,"['Finance', 'Financial Conglomerates']",,
Michael Prior,500 Cummings Ctr,,Beverly,ATN International Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Telecommunications Resellers ,cs,19786191300,4813,Information,ATN International Inc,Massachusetts,ATNI,"['Communications', 'Major Telecommunications', 'Information', 'Telecommunications Resellers ']",https://atni.com/,01915-6142
Sandesh Seth,275 Madison Ave Fl 7,,New York,Actinium Pharmaceuticals Inc,US,,,NYSE MKT LLC,Pharmaceutical Preparation Manufacturing ,cs,16466773875,2834,Manufacturing,Actinium Pharmaceuticals Inc,New York,ATNM,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://www.actiniumpharma.com/,10016-1101
Johnson Lau,1001 Main St Ste 600,,Buffalo,Athenex Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Pharmaceutical Preparation Manufacturing ,cs,17168988625,2834,Manufacturing,Athenex Inc,New York,ATNX,"['Health Technology', 'Pharmaceuticals: Major', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://www.athenex.com/,14203-1009
John Akers,1800 Three Lincoln Ctr,5430 Lbj Freeway,Dallas,Atmos Energy Corp.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Natural Gas Distribution ,cs,19729349227,4924,Utilities,Atmos Energy Corp.,Texas,ATO,"['Utilities', 'Gas Distributors', 'Natural Gas Distribution ']",https://www.atmosenergy.com/,75240
,,,,Atomera Inc,,,,NASDAQ CAPITAL MARKET,Semiconductor and Related Device Manufacturing ,cs,,3674,Manufacturing,Atomera Inc,,ATOM,"['Commercial Services', 'Miscellaneous Commercial Services', 'Manufacturing', 'Semiconductor and Related Device Manufacturing ']",,
Steven Quay,107 Spring St,,Seattle,Atossa Therapeutics Inc,US,"Atossa Therapeutics, Inc. is a clinical-stage biopharmaceutical company seeking to discover and develop innovative medicines in areas of significant unmet medical need with a current focus on breast cancer and COVID-19.",,NASDAQ CAPITAL MARKET,Surgical and Medical Instrument Manufacturing ,cs,12065880256,3841,Manufacturing,Atossa Therapeutics Inc,Washington,ATOS,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",https://atossatherapeutics.com/,98104
Stephan Tanda,265 Exchange Dr Ste 100,,Crystal Lake,Aptargroup Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Metal Can Manufacturing ,cs,18154770424,3089,Manufacturing,Aptargroup Inc.,Illinois,ATR,"['Process Industries', 'Containers/Packaging', 'Manufacturing', 'Metal Can Manufacturing ']",https://www.aptar.com/,60014-6230
Pascal Touchon,611 Gateway Blvd Ste 900,,South San Francisco,Atara Biotherapeutics Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Biological Product (except Diagnostic) Manufacturing ,cs,16502788930,2836,Manufacturing,Atara Biotherapeutics Inc,California,ATRA,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Biological Product (except Diagnostic) Manufacturing ']",http://www.atarabio.com/,94080-7015
,,,,Atricure Inc,,,,NASDAQ/NMS (GLOBAL MARKET),Surgical and Medical Instrument Manufacturing ,cs,,3841,Manufacturing,Atricure Inc,,ATRC,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",,
,,,,Atrion Corp.,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Surgical and Medical Instrument Manufacturing ,cs,,3841,Manufacturing,Atrion Corp.,,ATRI,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",,
Peter Gundermann,130 Commerce Way,,East Aurora,Astronics Corp.,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Small Arms Ammunition Manufacturing ,cs,17168051599,3728,Manufacturing,Astronics Corp.,New York,ATRO,"['Electronic Technology', 'Aerospace & Defense', 'Manufacturing', 'Small Arms Ammunition Manufacturing ']",https://www.astronics.com/,14052-2191
Robert Apple,Suite 300,100 Princeton South,Ewing,Antares Pharma Inc,US,"Antares Pharma, Inc. is a pharmaceutical technology company focused primarily on the development and commercialization of self-administered injectable pharmaceutical products using advanced drug delivery auto injector technology. The Company has a portfolio of proprietary and partnered commercial products with several product candidates in various stages of development, as well as significant strategic alliances with industry leading pharmaceutical companies including Teva Pharmaceutical Industries, Ltd. (Teva), Covis Pharma (Covis), Pfizer Inc. (Pfizer) and Idorsia Pharmaceuticals Ltd. (Idorsia). Antares Pharma's FDA-approved products include XYOSTED® (testosterone enanthate) injection, OTREXUP® (methotrexate) injection for subcutaneous use and Sumatriptan Injection USP, which is distributed by Teva. The Company also markets NOCDURNA® (desmopressin acetate) in the U.S., which was licensed from Ferring Pharmaceuticals.",,NASDAQ CAPITAL MARKET,Surgical and Medical Instrument Manufacturing ,cs,16093593020,3841,Manufacturing,Antares Pharma Inc,New Jersey,ATRS,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",https://www.antarespharma.com/,08628
Richard Corrado,145 Hunter Dr,,Wilmington,Air Transport Services Group Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Couriers and Express Delivery Services,cs,19373825591,4513,Transportation and Warehousing,Air Transport Services Group Inc,Ohio,ATSG,"['Transportation', 'Air Freight/Couriers', 'Airlines', 'Transportation and Warehousing', 'Couriers and Express Delivery Services']",http://www.atsginc.com/,45177-9550
,,,,Atento S.A.,,,,"NEW YORK STOCK EXCHANGE, INC.",Commercial Photography ,cs,,4813,"Professional, Scientific, and Technical Services",Atento S.A.,,ATTO,"['Commercial Services', 'Miscellaneous Commercial Services', 'Professional, Scientific, and Technical Services', 'Commercial Photography ']",,
Dexter Goei,1 Court Square West,,Long Island City,Altice USA Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",All Other Telecommunications ,cs,15168032300,4841,Information,Altice USA Inc - Class A,New York,ATUS,"['Consumer Services', 'Cable/Satellite TV', 'Information', 'All Other Telecommunications ']",http://alticeusa.com/,11101
Robert Kotick,3100 Ocean Park Blvd,,Santa Monica,Activision Blizzard Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Software Publishers,cs,13102552000,7372,Information,Activision Blizzard Inc,California,ATVI,"['Consumer Durables', 'Recreational Products', 'Information', 'Software Publishers']",https://www.activisionblizzard.com/,90405-3032
,2 Gansevoort St Fl 9,,New York,Avenue Therapeutics Inc,US,"Avenue Therapeutics is a specialty pharmaceutical company whose mission is to develop IV tramadol, a potential alternative that could reduce the use of conventional opioids, for patients suffering from acute pain in the U.S. Avenue is headquartered in New York City and was founded by Fortress Biotech, Inc.",,NASDAQ CAPITAL MARKET,Pharmaceutical Preparation Manufacturing ,cs,17816524500,2834,Manufacturing,Avenue Therapeutics Inc,New York,ATXI,"['Health Technology', 'Pharmaceuticals: Major', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",http://www.avenuetx.com/,10014-1667
Kelvin Dushnisky,76 Rahima Moosa Street,"Newtown (Pob 62117, Marshalltown 2107)",Johannesburg,AngloGold Ashanti Ltd,South Africa,,,"NEW YORK STOCK EXCHANGE, INC.",Gold Ore Mining ,ad,270116376000,1041,"Mining, Quarrying, and Oil and Gas Extraction",AngloGold Ashanti Ltd - ADR,Gauteng,AU,"['Non-Energy Minerals', 'Precious Metals', 'Mining, Quarrying, and Oil and Gas Extraction', 'Gold Ore Mining ']",https://www.anglogoldashanti.com/,00000
,,,,Atlantic Union Bankshares Corp,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,cs,,6022,Finance and Insurance,Atlantic Union Bankshares Corp,,AUB,"['Regional Banks', 'Finance', 'Finance and Insurance', 'Commercial Banking ']",,
,,,,Atlantic Union Bankshares Corp,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,ps,,6022,Finance and Insurance,Atlantic Union Bankshares Corp - 6.875% PRF PERPETUAL USD 25 - 1/400th,,AUBAP,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",,
,,,,Auburn National Bancorp Inc.,,,,NASDAQ/NMS (GLOBAL MARKET),Commercial Banking ,cs,,6022,Finance and Insurance,Auburn National Bancorp Inc.,,AUBN,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",,
Shabtai Adlersberg,,,1 Hayarden Street Airport City,Audiocodes,Israel,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Telephone Apparatus Manufacturing,cs,97239764000,3661,Manufacturing,Audiocodes,Lod,AUDC,"['Electronic Technology', 'Telecommunications Equipment', 'Manufacturing', 'Telephone Apparatus Manufacturing']",https://www.audiocodes.com,7019900
,,,,Listed Funds Trust,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,Listed Funds Trust - TrueShares Structured Outcome (August) ETF,,AUGZ,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Jeffrey Clevenger,350 Indiana St Ste 800,,Golden,Golden Minerals Co,US,,,NYSE MKT LLC,Silver Ore Mining ,cs,13038395060,1044,"Mining, Quarrying, and Oil and Gas Extraction",Golden Minerals Co,Colorado,AUMN,"['Non-Energy Minerals', 'Precious Metals', 'Mining, Quarrying, and Oil and Gas Extraction', 'Silver Ore Mining ']",http://www.goldenminerals.com/,80401-5099
Peter Greenleaf,1203-4464 Markham St,,Victoria,Aurinia Pharmaceuticals Inc,Canada,,,NASDAQ/NMS (GLOBAL MARKET),Pharmaceutical Preparation Manufacturing ,cs,12507084272,2834,Manufacturing,Aurinia Pharmaceuticals Inc,British Columbia,AUPH,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://www.auriniapharma.com,V8Z 7X8
,,,,Austerlitz Acquisition Corp I,,,,"NEW YORK STOCK EXCHANGE, INC.",,,,6770,,Austerlitz Acquisition Corp I - Units (1 Ord Share Class A & 1/4 War),,AUS=,[],,
,,,,Global X Funds,,,,NYSE ARCA,,et,,,,Global X Funds - Global X Adaptive U.S. Factor ETF,,AUSF,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,Scale Space Building,White City,58 Wood Lane,Autolus Therapeutics plc,United Kingdom,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Biological Product (except Diagnostic) Manufacturing ,ad,442038296230,2836,Manufacturing,Autolus Therapeutics plc - ADR,London,AUTL,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Biological Product (except Diagnostic) Manufacturing ']",https://www.autolus.com/,W12 7RZ
,,,,AutoWeb Inc,,"AutoWeb, Inc. provides high-quality consumer leads, clicks and associated marketing services to automotive dealers and manufacturers throughout the United States. The company also provides consumers with robust and original online automotive content to help them make informed car-buying decisions. The company pioneered the automotive Internet in 1995 and has since helped tens of millions of automotive consumers research vehicles; connected thousands of dealers nationwide with motivated car buyers; and has helped every major automaker market its brand online.",87000,NASDAQ CAPITAL MARKET,Advertising Material Distribution Services,cs,,7319,"Professional, Scientific, and Technical Services",AutoWeb Inc,,AUTO,"['Commercial Services', 'Advertising/Marketing Services', 'Professional, Scientific, and Technical Services', 'Advertising Material Distribution Services']",,
,,,,Auddia Inc,,,,NASDAQ CAPITAL MARKET,Software Publishers,cs,,7374,Information,Auddia Inc,,AUUD,"['Technology Services', 'Packaged Software']",,
,,,,Auddia Inc,,,,NASDAQ CAPITAL MARKET,Software Publishers,wt,,7374,Information,Auddia Inc - Warrants - Series A (17/10/2025),,AUUDW,"['Technology Services', 'Packaged Software']",,
,,,,Applied UV Inc,,,,NASDAQ CAPITAL MARKET,,cs,,3640,,Applied UV Inc,,AUVI,"['Health Technology', 'Medical Specialties']",,
,"Royal Bank Plaza, North Tower","200 Bay Street, Suite 2200",Toronto,Yamana Gold Inc.,Canada,,,"NEW YORK STOCK EXCHANGE, INC.",Gold Ore Mining ,cs,14168150220,1040,"Mining, Quarrying, and Oil and Gas Extraction",Yamana Gold Inc.,Ontario,AUY,"['Non-Energy Minerals', 'Precious Metals', 'Mining, Quarrying, and Oil and Gas Extraction', 'Gold Ore Mining ']",https://www.yamana.com/english/home/default.aspx,M5J 2J3
Dennis Vermillion,1411 E Mission Ave,,Spokane,Avista Corp.,US,"Avista Corp. is an energy company involved in the production, transmission and distribution of energy as well as other energy-related businesses. Avista Utilities is our operating division that provides electric service to 397,000 customers and natural gas to 363,000 customers. Its service territory covers 30,000 square miles in eastern Washington, northern Idaho and parts of southern and eastern Oregon, with a population of 1.6 million. Alaska Energy and Resources Company is an Avista subsidiary that provides retail electric service in the city and borough of Juneau, Alaska, through its subsidiary Alaska Electric Light and Power Company. Avista stock is traded under the ticker symbol 'AVA.'",1982,"NEW YORK STOCK EXCHANGE, INC.",Hydroelectric Power Generation ,cs,15094890500,4931,Utilities,Avista Corp.,Washington,AVA,"['Utilities', 'Electric Utilities', 'Hydroelectric Power Generation ']",http://www.avistacorp.com/,99202-1902
,,,,Grupo Aval Acciones y Valores S.A.,Colombia,,,"NEW YORK STOCK EXCHANGE, INC.",Commercial Banking ,ad,5712419700,6029,Finance and Insurance,Grupo Aval Acciones y Valores S.A. - ADR,Carrera 13 26 A 47 Piso 26,AVAL,"['Finance', 'Major Banks', 'Finance and Insurance', 'Commercial Banking ']",https://www.grupoaval.com/,BOGOTA
,,,Po Box 1093 Boundary Hall Cricket Square,Avanti Acquisition Corp,Cayman Islands,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,3458145831,6770,,Avanti Acquisition Corp - Class A,Grand Cayman,AVAN,"['Finance', 'Financial Conglomerates']",,KY1-1102
,,,Po Box 1093 Boundary Hall Cricket Square,Avanti Acquisition Corp,Cayman Islands,,,"NEW YORK STOCK EXCHANGE, INC.",,wt,3458145831,6770,,Avanti Acquisition Corp - Warrants (01/01/9999),Grand Cayman,AVAN+,"['Finance', 'Financial Conglomerates']",,KY1-1102
,,,Po Box 1093 Boundary Hall Cricket Square,Avanti Acquisition Corp,Cayman Islands,,,"NEW YORK STOCK EXCHANGE, INC.",,,3458145831,6770,,Avanti Acquisition Corp - Units (1 Ord Class A & 1/2 War),Grand Cayman,AVAN=,"['Finance', 'Financial Conglomerates']",,KY1-1102
Wahid Nawabi,900 Innovators Way,,Simi Valley,AeroVironment Inc.,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Small Arms Ammunition Manufacturing ,cs,18055208350,3721,Manufacturing,AeroVironment Inc.,California,AVAV,"['Electronic Technology', 'Aerospace & Defense', 'Manufacturing', 'Small Arms Ammunition Manufacturing ']",http://www.avinc.com/,93065
,4040 Wilson Boulevard,Ste 1000,Arlington,Avalonbay Communities Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Other Financial Vehicles ,cs,17033296300,6798,Finance and Insurance,Avalonbay Communities Inc.,Virginia,AVB,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Other Financial Vehicles ']",https://www.avaloncommunities.com/,22203
,,,,Avalon GloboCare Corp,,,,NASDAQ CAPITAL MARKET,General Medical and Surgical Hospitals ,cs,,8742,Health Care and Social Assistance,Avalon GloboCare Corp,,AVCO,"['Technology Services', 'Packaged Software', 'Health Technology', 'Biotechnology', 'Health Care and Social Assistance', 'General Medical and Surgical Hospitals ']",,
,,,,American Virtual Cloud Technologies Inc,,,,NASDAQ CAPITAL MARKET,,cs,,6770,,American Virtual Cloud Technologies Inc,,AVCT,"['Finance', 'Financial Conglomerates']",,
,,,,American Virtual Cloud Technologies Inc,,,,NASDAQ CAPITAL MARKET,,wt,,6770,,American Virtual Cloud Technologies Inc - Warrants(07/04/2025),,AVCTW,"['Finance', 'Financial Conglomerates']",,
Eric Wintemute,4695 Macarthur Ct,,Newport Beach,American Vanguard Corp.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Pesticide and Other Agricultural Chemical Manufacturing,cs,19492601200,2879,Manufacturing,American Vanguard Corp.,California,AVD,"['Process Industries', 'Chemicals: Agricultural', 'Manufacturing', 'Pesticide and Other Agricultural Chemical Manufacturing']",http://www.american-vanguard.com/,92660-1882
,,,,American Century ETF Trust,,,,NYSE ARCA,,et,,,,American Century ETF Trust - Avantis International Equity ETF,,AVDE,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,New Age Alpha Trust,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,New Age Alpha Trust - AVDR US LargeCap ESG ETF,,AVDG,[],,
Gregory Divis,Block 10-1 Blanchardstown Corporate Park,Ballycoolin,Dublin,Avadel Pharmaceuticals plc,Ireland,,,NASDAQ/NMS (GLOBAL MARKET),Medicinal and Botanical Manufacturing ,ad,6364491830,2834,Manufacturing,Avadel Pharmaceuticals plc - ADR,Dublin,AVDL,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Medicinal and Botanical Manufacturing ']",https://www.avadel.com/,15
,,,,New Age Alpha Trust,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,New Age Alpha Trust - AVDR US LargeCap Leading ETF,,AVDR,"['Medical Specialties', 'Health Technology']",,
,,,,American Century ETF Trust,,,,NYSE ARCA,,et,,,,American Century ETF Trust - Avantis International Small Cap Value ETF,,AVDV,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,American Century ETF Trust,,,,NYSE ARCA,,et,,,,American Century ETF Trust - Avantis Emerging Markets Equity ETF,,AVEM,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Michael Bailey,30 Winter Street,,Boston,AVEO Pharmaceuticals Inc,US,,,NASDAQ CAPITAL MARKET,Pharmaceutical Preparation Manufacturing ,cs,18574000101,2834,Manufacturing,AVEO Pharmaceuticals Inc,Massachusetts,AVEO,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",http://www.aveooncology.com/,02108
Hock Tan,1320 Ridder Park Dr,,San Jose,Broadcom Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Semiconductor and Related Device Manufacturing ,cs,14084338000,3674,Manufacturing,Broadcom Inc,California,AVGO,"['Electronic Technology', 'Semiconductors', 'Manufacturing', 'Semiconductor and Related Device Manufacturing ']",https://www.broadcom.com/,95131-2313
Hock Tan,1320 Ridder Park Dr,,San Jose,Broadcom Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Semiconductor and Related Device Manufacturing ,ps,14084338000,3674,Manufacturing,Broadcom Inc - 8% PRF CONVERT 30/09/2022 USD 1000 - Ser A,California,AVGOP,"['Electronic Technology', 'Semiconductors', 'Manufacturing', 'Semiconductor and Related Device Manufacturing ']",https://www.broadcom.com/,95131-2313
Jeffrey Soinski,400 Chesapeake Dr,,Redwood City,Avinger Inc,US,"Avinger is a commercial-stage medical device company that designs and develops the first and only image-guided, catheter-based system for the diagnosis and treatment of patients with Peripheral Artery Disease (PAD). PAD is estimated to affect over 12 million people in the U.S. and over 200 million worldwide. Avinger is dedicated to radically changing the way vascular disease is treated through its Lumivascular platform, which currently consists of the Lightbox imaging console, the Ocelot and Tigereye™ family of chronic total occlusion (CTO) catheters, and the Pantheris® line of atherectomy devices. Avinger is based in Redwood City, California.",,NASDAQ CAPITAL MARKET,Surgical and Medical Instrument Manufacturing ,cs,16503632400,3841,Manufacturing,Avinger Inc,California,AVGR,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",http://avinger.com/,94063-4739
Jeff Rosica,75 Network Dr,,Burlington,"Avid Technology, Inc.",US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Computer Storage Device Manufacturing ,cs,19786403121,3861,Manufacturing,"Avid Technology, Inc.",Massachusetts,AVID,"['Electronic Technology', 'Computer Peripherals', 'Technology Services', 'Packaged Software', 'Manufacturing', 'Computer Storage Device Manufacturing ']",https://www.avid.com/,01803-2756
,,,,American Century ETF Trust,,,,NYSE ARCA,,et,,,,American Century ETF Trust - Avantis Core Fixed Income ETF,,AVIG,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Atea Pharmaceuticals Inc,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Medicinal and Botanical Manufacturing ,cs,,2834,Manufacturing,Atea Pharmaceuticals Inc,,AVIR,"['Health Technology', 'Pharmaceuticals: Major']",,
Tracy Maitland,227 W Monroe St,,Chicago,Advent Convertible and Income Fund,US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,13128270100,,,Advent Convertible and Income Fund,Illinois,AVK,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,60606-5055
,,,,Avalara Inc,,"Avalara helps businesses of all sizes get tax compliance right. In partnership with leading ERP, accounting, ecommerce, and other financial management system providers, Avalara delivers cloud-based compliance solutions for various transaction taxes, including sales and use, VAT, GST, excise, communications, lodging, and other indirect tax types. Headquartered in Seattle, Avalara has offices across the U.S. and around the world in Brazil, Europe, and India.",,"NEW YORK STOCK EXCHANGE, INC.",Software Publishers,cs,,7372,Information,Avalara Inc,,AVLR,"['Technology Services', 'Packaged Software', 'Information', 'Software Publishers']",,
,,,,American Century ETF Trust,,,,NYSE ARCA,,et,,,,American Century ETF Trust - Avantis Core Municipal Fixed Income ETF,,AVMU,[],,
Joseph Woody,5405 Windward Parkway,,Alpharetta,Avanos Medical Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",Surgical and Medical Instrument Manufacturing ,cs,16784259273,3842,Manufacturing,Avanos Medical Inc,Georgia,AVNS,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",https://avanos.com/,30004
Robert Patterson,33587 Walker Rd,,Avon Lake,Avient Corp,US,,,"NEW YORK STOCK EXCHANGE, INC.",Plastics Material and Resin Manufacturing ,cs,14409301000,2821,Manufacturing,Avient Corp,Ohio,AVNT,"['Process Industries', 'Chemicals: Specialty', 'Manufacturing', 'Plastics Material and Resin Manufacturing ']",https://www.polyone.com/,44012
,,,,Aviat Networks Inc,United States,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,cs,,3663,Manufacturing,Aviat Networks Inc,,AVNW,"['Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing', 'Telecommunications Equipment', 'Manufacturing', 'Electronic Technology']",,
,2500 E. Vineyard Avenue,Suite 300,Oxnard,Mission Produce Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Dog and Cat Food Manufacturing ,cs,18059813650,700,Manufacturing,Mission Produce Inc,California,AVO,"['Process Industries', 'Agricultural Commodities/Milling', 'Manufacturing', 'Dog and Cat Food Manufacturing ']",https://worldsfinestavocados.com/,93036
,,,,AvroBio Inc,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Biological Product (except Diagnostic) Manufacturing ,cs,,2836,Manufacturing,AvroBio Inc,,AVRO,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Biological Product (except Diagnostic) Manufacturing ']",,
,,,,American Century ETF Trust,,,,NYSE ARCA,,et,,,,American Century ETF Trust - Avantis Short-Term Fixed Income ETF,,AVSF,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
